Vessel Name,Year,Tags,LOA,LBP,B,T,D,D_Upperdeck,DWT,GT,Displacement,C_B,HTS,V_Service,MCR,P_I,N_MainEngines,ME,Fuel consumption,Fuel auxilaries,P_Aux,N_prop,CPP?,Azi?,D_Prop,Prop_RPM,Skeg?,Bulbous Bow?,N_Bowramps,N_Sternramps,N_Sidedoor,N_Insideramps,N_Lifts,N_VehDecks,N_SemiDecks,N_HoistDecks,N_PasDecks,A_PasRelative,N_Pas,L_Voyage,N_Berths,N_Cabins,N_Crew_Total,N_Officers,L_Lane,L_LaneTrailer,L_LaneTrailer(or),L_LaneCar,L_LaneCar(or),L_TrainTrack,N_Cars,N_Cars(or),L_Car,N_Trailers,N_Trailers(or),L_Trailer,No. Bowtrusters,P_Bowthruster,Classification,HFO Tanks,LNG Tanks,DO Tanks,LO Tanks,FW Tanks,BW Tanks,Heeling Tanks,Cost,Significant Ship,Comments,L/B,LBP/LOA,LB,B/T,T/D,B/D,L/D,L/D_Up,LBD,LBD_Up,D_Prop/T,P_I_k,Fn,LDisprat,W_LS,Endurance,Range,A_Projected,P_TB,N_Crew,L_Lane_max_T,L_Lane_add_C,L_Lane_max_C,Lane_Mt,LM/Pas,DWT/Pas,A_Pas,A_Veh,A_Trailer,A_Car,A_Car_max,A_Train
Abel Matutes,2010,,187.0,177.0,26.2,6.0,9.2,14.54,5300.0,,,,,21.4,85.0,18000,2, MAN 9M43C,,,,2,True,False,4.3,179.0,True,True,1.0,2.0,,5.0,,3.0,2.0,0.0,3.0,2.4,900,,,90.0,36.0,8.0,,2235.0,0.0,1150.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1000.0,BV,573.0,0.0,132.0,,,2220.0,,,True,,6.755725190839695,0.946524064171123,4637.4,4.366666666666666,0.6521739130434783,2.847826086956522,19.23913043478261,12.173314993122421,42664.079999999994,67427.79599999999,0.7166666666666667,18.0,0.26417614376096954,,,,,1813.896,2000.0,28.0,2235,1150,1150,3385.0,3.761111111111111,5.888888888888889,7790.8319999999985,8896.5,6481.5,2415.0,2415.0,0.0
Aretousa,1995,,177.3,166.4,27.0,6.3,9.1,20.05,,28417.0,,,,23.8,90.0,31200,4, MAN 8L48/60,150.0,,6795.0,2,True,False,4.9,153.0,True,True,1.0,1.0,,3.0,,2.0,1.0,1.0,3.0,2.3,1500,,500.0,125.0,102.0,,,0.0,2250.0,2853.0,0.0,0.0,634.0,0.0,4.5,0.0,163.0,12.5,2,1200.0,DNV,890.0,0.0,75.0,,,950.0,,,True,,6.162962962962963,0.9385222786238014,4492.8,4.285714285714286,0.6923076923076923,2.967032967032967,18.28571428571429,8.29925187032419,40884.48,90080.64000000001,0.7777777777777779,31.2,0.3030168312415708,,,5.933333333333334,3389.1200000000003,2745.6,2400.0,,2250,0,2853,2853.0,1.902,,7233.407999999999,6525.0,6525.0,0.0,5991.3,0.0
Armorique,2008,,168.0,155.0,26.8,6.3,9.3,10.3,4200.0,28500.0,,,,23.0,85.0,48000,4, MaK 12M43C,110.0,9.0,9200.0,2,True,False,4.8,153.0,,True,1.0,1.0,,1.0,,2.0,1.0,0.0,4.0,2.4,1500,,780.0,248.0,106.0,24.0,,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1200.0,BV,790.0,0.0,170.0,,,2060.0,,,True,,5.7835820895522385,0.9226190476190477,4154.0,4.253968253968254,0.6774193548387096,2.8817204301075265,16.666666666666664,15.048543689320388,38632.200000000004,42786.200000000004,0.7619047619047619,48.0,0.3034089888708606,,,7.181818181818182,3964.3636363636365,744.0000000000001,2400.0,82.0,1100,0,0,1100.0,0.7333333333333333,2.8,6978.72,3190.0,3190.0,0.0,0.0,0.0
Bang Chui Dao,1995,,134.8,125.0,23.4,5.4,8.6,14.0,3250.0,15560.0,,,,20.0,85.0,11520,2, Stork-Wartsila 9SW38,43.0,,4640.0,2,True,False,4.0,165.0,True,True,1.0,1.0,,1.0,,2.0,1.0,1.0,3.0,2.0,938,,,169.0,89.0,,,830.0,0.0,100.0,1160.0,0.0,22.0,226.0,4.5,80.0,0.0,12.0,1,900.0,CCS,463.0,0.0,115.0,,,,,,True,,5.341880341880342,0.9272997032640948,2925.0,4.333333333333333,0.6279069767441862,2.7209302325581395,14.534883720930234,8.928571428571429,25155.0,40950.0,0.7407407407407407,11.52,0.2937930009734728,,,10.767441860465116,5168.372093023256,1290.0,900.0,,960,99,1160,1160.0,1.236673773987207,3.464818763326226,4094.9999999999995,2991.9,2784.0,207.9,2436.0,0.0
Barfleur,1992,,157.65,146.35,23.3,5.4,8.0,,4130.0,20000.0,,,,19.5,85.0,12400,4, Wartsila 8R32D,,,3905.0,2,True,False,4.3,,True,True,1.0,1.0,,,1.0,2.0,1.0,1.0,4.0,1.6,1212,,289.0,72.0,92.0,,,2510.0,1386.0,0.0,1500.0,0.0,0.0,304.0,4.5,120.0,66.0,12.0,2,600.0,BV,529.0,0.0,147.0,,,741.0,450.0,,True,,6.2811158798283255,0.9283222327941643,3409.955,4.314814814814815,0.675,2.9125,18.29375,,27279.64,,0.7962962962962962,12.4,0.264730941506662,,,,,,1200.0,,2510,0,1500,2510.0,2.070957095709571,3.407590759075908,3819.1495999999997,7279.0,7279.0,0.0,3150.0,0.0
Berkarar,2014,,155.8,149.0,17.5,4.35,7.2,12.2,2400.0,9791.0,,,,17.6,90.0,6120,2,Wartsila 9L26,27.4,,,2,True,False,3.2,200.0,True,False,0.0,2.0,,,,2.0,0.0,0.0,2.0,1.1,200,,,34.0,34.0,7.0,,970.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,1,500.0,RMRS,,0.0,164.0,,,1430.0,,,True,,8.514285714285714,0.956354300385109,2607.5,4.022988505747127,0.6041666666666666,2.4305555555555554,20.694444444444443,12.213114754098362,18774.0,31811.499999999996,0.7356321839080461,6.12,0.2368023401156465,,,,,1403.5799999999997,500.0,27.0,970,0,0,970.0,4.85,12.0,2007.775,2813.0,2813.0,0.0,0.0,0.0
Bithia,2001,luxury,214.0,192.4,26.4,6.67,10.0,15.2,5100.0,36500.0,,,,23.0,85.0,51200,4, Wartsila 12V46C,164.0,,8500.0,2,True,False,5.6,145.0,True,True,2.0,0.0,,6.0,,2.0,2.0,0.0,2.0,1.9,2700,,1212.0,320.0,77.0,14.0,,900.0,0.0,700.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1300.0,RINA,1000.0,0.0,80.0,,,3000.0,,,True,,7.287878787878788,0.8990654205607477,5079.36,3.9580209895052474,0.667,2.6399999999999997,19.240000000000002,12.657894736842106,50793.6,77206.272,0.8395802098950524,51.2,0.2723276625289883,,,6.097560975609756,3365.8536585365855,1969.4063999999998,2600.0,63.0,900,700,700,1600.0,0.5925925925925926,1.8888888888888888,6755.5488,4080.0,2610.0,1470.0,1470.0,0.0
Blue Star 1,2000,,176.1,160.48,25.7,6.35,9.4,15.1,4563.0,29415.0,,,,27.0,75.0,44480,4, MAN L58/64,,,6200.0,2,True,False,5.4,144.0,True,True,1.0,2.0,,3.0,,2.0,2.0,0.0,3.0,2.7,1600,,,161.0,112.0,,,1745.0,0.0,485.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,12.0,2,1200.0,LR,880.0,0.0,180.0,,,515.0,,,True,,6.2443579766536965,0.9113003975014197,4124.335999999999,4.047244094488189,0.675531914893617,2.734042553191489,17.072340425531912,10.627814569536424,38768.7584,62277.47359999999,0.8503937007874017,44.48,0.3500416824239287,,,,,1685.04,2400.0,,1745,485,485,2230.0,1.39375,2.851875,7794.995039999999,6079.0,5060.5,1018.5,1018.5,0.0
Blue Star Ithaki,2000,,123.8,111.8,18.9,4.9,7.25,12.25,1858.0,10193.0,,,,24.1,85.0,16560,4, Wartsila 9L32,,,,2,True,False,3.9,185.0,True,True,1.0,1.0,,2.0,,2.0,0.0,0.0,2.0,1.7,1500,,,5.0,38.0,,,0.0,0.0,0.0,0.0,0.0,94.0,0.0,4.5,21.0,0.0,12.0,1,950.0,BV,483.0,0.0,62.0,,,738.0,,,True,,5.915343915343915,0.9030694668820678,2113.02,3.8571428571428568,0.6758620689655173,2.606896551724138,15.420689655172414,9.126530612244897,15319.395,25884.495,0.7959183673469387,16.56,0.37433686338838384,,,,,986.0759999999999,950.0,,252,423,423,675.0,0.45,1.2386666666666666,2514.4937999999997,1619.1,730.8,888.3000000000001,888.3000000000001,0.0
Caledonian Isles,1993,short haul,94.28,85.2,15.8,3.15,4.5,10.7,600.0,5221.0,3138.0,,0.0,15.0,85.0,5800,2, Mirlees Blackstone 8MB275,,,960.0,2,True,False,2.35,270.0,True,False,1.0,1.0,,4.0,,1.0,0.0,2.0,2.0,1.6,1000,1.0,0.0,0.0,28.0,8.0,,370.0,0.0,250.0,0.0,0.0,55.0,0.0,4.5,10.0,0.0,12.0,2,485.0,LR,0.0,0.0,115.0,,,,,,True,,5.3924050632911396,0.903691132795927,1346.16,5.015873015873016,0.7,3.511111111111111,18.933333333333334,7.962616822429907,6057.72,14403.912,0.746031746031746,5.8,0.26689345139761633,5.819539429211416,2538.0,,,771.9119999999998,970.0,20.0,370,250,250,620.0,0.62,0.6,1507.6992,1598.0,1073.0,525.0,525.0,0.0
