Vessel Name,-,Abel Matutes
Year,-,2010
Tags,-,-
LOA,m,187
LBP,m,177
B,m,26.2
T,m,6
D,m,9.2
D_Upperdeck,m,14.54
DWT,t,5300
GT,t,-
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,21.4
MCR,%,-
P_I,kW,18000
N_MainEngines,-,2
ME,-, MAN 9M43C
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,-
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,4.3
Prop_RPM,rpm,179
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,2
N_Sidedoor,-,-
N_Insideramps,-,5
N_Lifts,-,-
N_VehDecks,-,3
N_SemiDecks,-,2
N_HoistDecks,-,0
N_PasDecks,-,3
A_PasRelative,-,2.4
N_Pas,-,900
L_Voyage,h,-
N_Berths,-,-
N_Cabins,-,90
N_Crew_Total,-,36
N_Officers,-,8
L_Lane,-,-
L_LaneTrailer,-,2235
L_LaneTrailer(or),-,-
L_LaneCar,-,1150
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1000
Classification,-,BV
HFO Tanks,m3,573
LNG Tanks,m3,-
DO Tanks,m3,132
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,2220
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
