Vessel Name,-,Aretousa
Year,-,1995
Tags,-,-
LOA,m,177.3
LBP,m,166.4
B,m,27
T,m,6.3
D,m,9.1
D_Upperdeck,m,20.05
DWT,t,-
GT,t,28417
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,23.8
MCR,%,90
P_I,kW,31200
N_MainEngines,-,4
ME,-, MAN 8L48/60
Fuel consumption,t/day,150
Fuel auxilaries,t/day,-
P_Aux,kW,6795
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,4.9
Prop_RPM,rpm,153
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,3
N_Lifts,-,-
N_VehDecks,-,2
N_SemiDecks,-,1
N_HoistDecks,-,1
N_PasDecks,-,3
A_PasRelative,-,2.3
N_Pas,-,1500
L_Voyage,h,-
N_Berths,-,500
N_Cabins,-,125
N_Crew_Total,-,102
N_Officers,-,-
L_Lane,-,-
L_LaneTrailer,-,0
L_LaneTrailer(or),-,2250
L_LaneCar,-,2853
L_LaneCar(or),-,0
L_TrainTrack,-,-
N_Cars,-,634
N_Cars(or),-,0
L_Car,m,-
N_Trailers,-,0
N_Trailers(or),-,163
L_Trailer,m,12.5
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1200
Classification,-,DNV
HFO Tanks,m3,890
LNG Tanks,m3,-
DO Tanks,m3,75
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,950
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
