Vessel Name,-,Bithia
Year,-,2001
Tags,-,luxury
LOA,m,214
LBP,m,192.4
B,m,26.4
T,m,6.67
D,m,10
D_Upperdeck,m,15.2
DWT,t,5100
GT,t,36500
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,23
MCR,%,-
P_I,kW,51200
N_MainEngines,-,4
ME,-, Wartsila 12V46C
Fuel consumption,t/day,164
Fuel auxilaries,t/day,-
P_Aux,kW,8500
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,5.6
Prop_RPM,rpm,145
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,2
N_Sternramps,-,0
N_Sidedoor,-,-
N_Insideramps,-,6
N_Lifts,-,-
N_VehDecks,-,2
N_SemiDecks,-,2
N_HoistDecks,-,0
N_PasDecks,-,2
A_PasRelative,-,1.9
N_Pas,-,2700
L_Voyage,h,-
N_Berths,-,1212
N_Cabins,-,320
N_Crew_Total,-,77
N_Officers,-,14
L_Lane,-,-
L_LaneTrailer,-,900
L_LaneTrailer(or),-,-
L_LaneCar,-,700
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1300
Classification,-,RINA
HFO Tanks,m3,1000
LNG Tanks,m3,-
DO Tanks,m3,80
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,3000
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
