Vessel Name,-,Blue Star 1
Year,-,2000
Tags,-,-
LOA,m,176.1
LBP,m,160.48
B,m,25.7
T,m,6.35
D,m,9.4
D_Upperdeck,m,15.1
DWT,t,4563
GT,t,29415
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,27
MCR,%,75
P_I,kW,44480
N_MainEngines,-,4
ME,-, MAN L58/64
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,6200
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,5.4
Prop_RPM,rpm,144
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,2
N_Sidedoor,-,-
N_Insideramps,-,3
N_Lifts,-,-
N_VehDecks,-,2
N_SemiDecks,-,2
N_HoistDecks,-,0
N_PasDecks,-,3
A_PasRelative,-,2.7
N_Pas,-,1600
L_Voyage,h,-
N_Berths,-,-
N_Cabins,-,161
N_Crew_Total,-,112
N_Officers,-,-
L_Lane,-,-
L_LaneTrailer,-,1745
L_LaneTrailer(or),-,-
L_LaneCar,-,485
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1200
Classification,-,LR
HFO Tanks,m3,880
LNG Tanks,m3,-
DO Tanks,m3,180
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,515
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
