Vessel Name,-,Color Fantasy
Year,-,2004
Tags,-,cruise
LOA,m,223.7
LBP,m,202.7
B,m,35
T,m,6.8
D,m,9.5
D_Upperdeck,m,21.9
DWT,t,5600
GT,t,75000
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,22.3
MCR,%,90
P_I,kW,31200
N_MainEngines,-,4
ME,-,Wartsila 8L46B
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,17400
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,-
Prop_RPM,rpm,-
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,-
N_Lifts,-,1
N_VehDecks,-,2
N_SemiDecks,-,1
N_HoistDecks,-,1
N_PasDecks,-,4
A_PasRelative,-,3.4
N_Pas,-,2750
L_Voyage,h,-
N_Berths,-,-
N_Cabins,-,-
N_Crew_Total,-,250
N_Officers,-,-
L_Lane,-,-
L_LaneTrailer,-,1270
L_LaneTrailer(or),-,-
L_LaneCar,-,2500
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,3
P_Bowthruster,kW (each),2200
Classification,-,DNV
HFO Tanks,m3,-
LNG Tanks,m3,-
DO Tanks,m3,-
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,-
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
