Vessel Name,-,Color Superspeed I
Year,-,2008
Tags,-,-
LOA,m,212.75
LBP,m,195.3
B,m,25.8
T,m,6.55
D,m,9.4
D_Upperdeck,m,14.8
DWT,t,5425
GT,t,34231
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,27
MCR,%,78.2
P_I,kW,38400
N_MainEngines,-,4
ME,-, Wartsila 9L46
Fuel consumption,t/day,185
Fuel auxilaries,t/day,-
P_Aux,kW,9000
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,5.25
Prop_RPM,rpm,145
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,1
N_Lifts,-,-
N_VehDecks,-,2
N_SemiDecks,-,0
N_HoistDecks,-,1
N_PasDecks,-,3
A_PasRelative,-,2.1
N_Pas,-,1928
L_Voyage,h,-
N_Berths,-,-
N_Cabins,-,54
N_Crew_Total,-,71
N_Officers,-,14
L_Lane,-,-
L_LaneTrailer,-,2030
L_LaneTrailer(or),-,-
L_LaneCar,-,1035
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),2400
Classification,-,DNV
HFO Tanks,m3,1350
LNG Tanks,m3,-
DO Tanks,m3,210
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,2800
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
