Vessel Name,-,Cruise Roma
Year,-,2008
Tags,-,-
LOA,m,225
LBP,m,202
B,m,30.4
T,m,7
D,m,10
D_Upperdeck,m,21.9
DWT,t,8550
GT,t,53360
Displacement,t,-
C_B,-,-
HTS,%,100
V_Service,knts,25
MCR,%,76
P_I,kW,55440
N_MainEngines,-,4
ME,-, Wartsila 12V46D
Fuel consumption,t/day,115
Fuel auxilaries,t/day,-
P_Aux,kW,12400
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,5.6
Prop_RPM,rpm,150
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,0
N_Sternramps,-,2
N_Sidedoor,-,-
N_Insideramps,-,3
N_Lifts,-,-
N_VehDecks,-,2
N_SemiDecks,-,2
N_HoistDecks,-,0
N_PasDecks,-,5
A_PasRelative,-,3.6
N_Pas,-,1834
L_Voyage,h,-
N_Berths,-,1834
N_Cabins,-,460
N_Crew_Total,-,-
N_Officers,-,-
L_Lane,-,-
L_LaneTrailer,-,3100
L_LaneTrailer(or),-,-
L_LaneCar,-,970
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1850
Classification,-,RINA
HFO Tanks,m3,1500
LNG Tanks,m3,-
DO Tanks,m3,250
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,2000
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
