Vessel Name,-,European Causeway
Year,-,2000
Tags,-,-
LOA,m,159.5
LBP,m,148
B,m,23.4
T,m,5.5
D,m,9
D_Upperdeck,m,15.2
DWT,t,4276
GT,t,20646
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,22.7
MCR,%,-
P_I,kW,31680
N_MainEngines,-,4
ME,-, Wartsila 12V38
Fuel consumption,t/day,120
Fuel auxilaries,t/day,-
P_Aux,kW,7200
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,4.25
Prop_RPM,rpm,182
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,2
N_Lifts,-,-
N_VehDecks,-,2
N_SemiDecks,-,1
N_HoistDecks,-,0
N_PasDecks,-,2
A_PasRelative,-,1
N_Pas,-,410
L_Voyage,h,-
N_Berths,-,-
N_Cabins,-,-
N_Crew_Total,-,55
N_Officers,-,-
L_Lane,-,-
L_LaneTrailer,-,1445
L_LaneTrailer(or),-,-
L_LaneCar,-,325
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,13.5
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1260
Classification,-,LR
HFO Tanks,m3,1032
LNG Tanks,m3,-
DO Tanks,m3,124
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,2488
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
