Vessel Name,-,Finnclipper
Year,-,1999
Tags,-,-
LOA,m,188.3
LBP,m,170
B,m,28.7
T,m,6
D,m,9
D_Upperdeck,m,15.1
DWT,t,6800
GT,t,30500
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,22
MCR,%,-
P_I,kW,23040
N_MainEngines,-,4
ME,-, Sulzer 8ZA40S
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,6560
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,-
Prop_RPM,rpm,-
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,2
N_Lifts,-,5
N_VehDecks,-,3
N_SemiDecks,-,1
N_HoistDecks,-,0
N_PasDecks,-,3
A_PasRelative,-,1.4
N_Pas,-,454
L_Voyage,h,-
N_Berths,-,-
N_Cabins,-,192
N_Crew_Total,-,40
N_Officers,-,-
L_Lane,-,-
L_LaneTrailer,-,2450
L_LaneTrailer(or),-,-
L_LaneCar,-,-
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1500
Classification,-,LR
HFO Tanks,m3,1000
LNG Tanks,m3,-
DO Tanks,m3,400
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,2000
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
