Vessel Name,-,Frans Suell
Year,-,1992
Tags,-,long haul
LOA,m,169.4
LBP,m,149.8
B,m,27.6
T,m,6.25
D,m,8.5
D_Upperdeck,m,14
DWT,t,2962
GT,t,35285
Displacement,t,16562
C_B,-,-
HTS,%,-
V_Service,knts,21.5
MCR,%,73.6
P_I,kW,23760
N_MainEngines,-,4
ME,-, Pielstick 12PC2.6V-400E
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,-
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,4.9
Prop_RPM,rpm,135
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,2
N_Sidedoor,-,-
N_Insideramps,-,-
N_Lifts,-,-
N_VehDecks,-,-
N_SemiDecks,-,0
N_HoistDecks,-,2
N_PasDecks,-,5
A_PasRelative,-,3.9
N_Pas,-,2216
L_Voyage,h,-
N_Berths,-,2172
N_Cabins,-,805
N_Crew_Total,-,193
N_Officers,-,-
L_Lane,-,-
L_LaneTrailer,-,1100
L_LaneTrailer(or),-,0
L_LaneCar,-,0
L_LaneCar(or),-,2200
L_TrainTrack,-,-
N_Cars,-,462
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,0
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1100
Classification,-,DNV
HFO Tanks,m3,683
LNG Tanks,m3,-
DO Tanks,m3,164
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,780
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
