Vessel Name,-,Golfo Dei Coralli
Year,-,2001
Tags,-,-
LOA,m,199.4
LBP,m,179.2
B,m,25
T,m,6.08
D,m,8.2
D_Upperdeck,m,14.2
DWT,t,7100
GT,t,18450
Displacement,t,15925
C_B,-,-
HTS,%,-
V_Service,knts,22.5
MCR,%,85
P_I,kW,18900
N_MainEngines,-,2
ME,-, Wartsila 9L46C
Fuel consumption,t/day,72
Fuel auxilaries,t/day,14
P_Aux,kW,5400
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,4.8
Prop_RPM,rpm,131
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,0
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,2
N_Lifts,-,-
N_VehDecks,-,2
N_SemiDecks,-,1
N_HoistDecks,-,0
N_PasDecks,-,2
A_PasRelative,-,0.6
N_Pas,-,308
L_Voyage,h,-
N_Berths,-,308
N_Cabins,-,77
N_Crew_Total,-,23
N_Officers,-,13
L_Lane,-,-
L_LaneTrailer,-,2510
L_LaneTrailer(or),-,-
L_LaneCar,-,0
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),800
Classification,-,RINA
HFO Tanks,m3,1150
LNG Tanks,m3,-
DO Tanks,m3,80
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,5000
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
