Vessel Name,-,Hamanasu
Year,-,2004
Tags,-,-
LOA,m,224.82
LBP,m,208
B,m,26
T,m,7.2
D,m,10
D_Upperdeck,m,20.4
DWT,t,5824
GT,t,34181
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,30.5
MCR,%,90
P_I,kW,35200
N_MainEngines,-,2
ME,-,Wartsila 12V46C
Fuel consumption,t/day,193
Fuel auxilaries,t/day,-
P_Aux,kW,-
N_prop,-,1
CPP?,y/n,y
Azi?,y/n,y
D_Prop,m,-
Prop_RPM,rpm,-
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,0
N_Sternramps,-,3
N_Sidedoor,-,-
N_Insideramps,-,2
N_Lifts,-,-
N_VehDecks,-,2
N_SemiDecks,-,1
N_HoistDecks,-,0
N_PasDecks,-,3
A_PasRelative,-,1.7
N_Pas,-,850
L_Voyage,h,-
N_Berths,-,-
N_Cabins,-,180
N_Crew_Total,-,60
N_Officers,-,10
L_Lane,-,-
L_LaneTrailer,-,2000
L_LaneTrailer(or),-,-
L_LaneCar,-,300
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1200
Classification,-,JG
HFO Tanks,m3,1247
LNG Tanks,m3,-
DO Tanks,m3,148
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,4251
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
