Vessel Name,-,Hebrides
Year,-,2001
Tags,-,-
LOA,m,99.4
LBP,m,91.2
B,m,15.8
T,m,3.2
D,m,5.5
D_Upperdeck,m,11.2
DWT,t,670
GT,t,5506
Displacement,t,3493
C_B,-,-
HTS,%,-
V_Service,knts,16.8
MCR,%,85
P_I,kW,7680
N_MainEngines,-,2
ME,-, Mak 8M32
Fuel consumption,t/day,15
Fuel auxilaries,t/day,-
P_Aux,kW,3552
N_prop,-,1
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,2.55
Prop_RPM,rpm,270
Skeg?,y/n,y
Bulbous Bow?,-,n
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,-
N_Lifts,-,-
N_VehDecks,-,1
N_SemiDecks,-,0
N_HoistDecks,-,2
N_PasDecks,-,2
A_PasRelative,-,1.4
N_Pas,-,612
L_Voyage,h,-
N_Berths,-,-
N_Cabins,-,-
N_Crew_Total,-,37
N_Officers,-,13
L_Lane,-,-
L_LaneTrailer,-,-
L_LaneTrailer(or),-,-
L_LaneCar,-,-
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,108
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,10
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),450
Classification,-,LR
HFO Tanks,m3,-
LNG Tanks,m3,-
DO Tanks,m3,100
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,730
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
