Vessel Name,-,Hjaltland
Year,-,2002
Tags,-,-
LOA,m,125
LBP,m,119
B,m,19.5
T,m,5.3
D,m,8
D_Upperdeck,m,13.7
DWT,t,1560
GT,t,12000
Displacement,t,7300
C_B,-,-
HTS,%,-
V_Service,knts,24
MCR,%,85
P_I,kW,21600
N_MainEngines,-,4
ME,-, MaK 6M43
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,7040
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,4.1
Prop_RPM,rpm,176
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,1
N_Lifts,-,-
N_VehDecks,-,1
N_SemiDecks,-,1
N_HoistDecks,-,-
N_PasDecks,-,2
A_PasRelative,-,1.8
N_Pas,-,600
L_Voyage,h,-
N_Berths,-,-
N_Cabins,-,100
N_Crew_Total,-,42
N_Officers,-,10
L_Lane,-,-
L_LaneTrailer,-,450
L_LaneTrailer(or),-,-
L_LaneCar,-,115
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),900
Classification,-,LR
HFO Tanks,m3,490
LNG Tanks,m3,-
DO Tanks,m3,70
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,600
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
