Vessel Name,-,Juan J Sister
Year,-,1993
Tags,-,long haul/freighter
LOA,m,151.1
LBP,m,133.3
B,m,26
T,m,6
D,m,8.6
D_Upperdeck,m,14
DWT,t,5585
GT,t,22400
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,18
MCR,%,67
P_I,kW,12600
N_MainEngines,-,4
ME,-, Wartsila 8R32E
Fuel consumption,t/day,38
Fuel auxilaries,t/day,9
P_Aux,kW,-
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,4.5
Prop_RPM,rpm,139
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,2
N_Sidedoor,-,-
N_Insideramps,-,1
N_Lifts,-,1
N_VehDecks,-,3
N_SemiDecks,-,1
N_HoistDecks,-,0
N_PasDecks,-,3
A_PasRelative,-,1.7
N_Pas,-,550
L_Voyage,h,-
N_Berths,-,400
N_Cabins,-,139
N_Crew_Total,-,58
N_Officers,-,14
L_Lane,-,-
L_LaneTrailer,-,1680
L_LaneTrailer(or),-,-
L_LaneCar,-,675
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,150
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,92
N_Trailers(or),-,-
L_Trailer,m,16
No. Bowtrusters,-,2
P_Bowthruster,kW (each),550
Classification,-,BV
HFO Tanks,m3,490
LNG Tanks,m3,-
DO Tanks,m3,152
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,850
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
