Vessel Name,-,Kong Harald
Year,-,1993
Tags,-,-
LOA,m,121.8
LBP,m,103.8
B,m,19.2
T,m,4.7
D,m,7.2
D_Upperdeck,m,21.4
DWT,t,902
GT,t,11204
Displacement,t,6256
C_B,-,-
HTS,%,-
V_Service,knts,18
MCR,%,69
P_I,kW,9000
N_MainEngines,-,4
ME,-, Krupp MaK 6M552C
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,7000
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,3.34
Prop_RPM,rpm,180
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,0
N_Sternramps,-,0
N_Sidedoor,-,1
N_Insideramps,-,-
N_Lifts,-,1
N_VehDecks,-,0
N_SemiDecks,-,1
N_HoistDecks,-,0
N_PasDecks,-,4
A_PasRelative,-,2.8
N_Pas,-,490
L_Voyage,h,-
N_Berths,-,-
N_Cabins,-,230
N_Crew_Total,-,59
N_Officers,-,16
L_Lane,-,-
L_LaneTrailer,-,-
L_LaneTrailer(or),-,-
L_LaneCar,-,-
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,50
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),790
Classification,-,DNV
HFO Tanks,m3,620
LNG Tanks,m3,-
DO Tanks,m3,60
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,750
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
