Vessel Name,-,Mont St Michel
Year,-,2002
Tags,-,-
LOA,m,173.95
LBP,m,162.25
B,m,28.5
T,m,6.2
D,m,9
D_Upperdeck,m,14.85
DWT,t,6300
GT,t,35592
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,21
MCR,%,85
P_I,kW,21600
N_MainEngines,-,4
ME,-, MaK 6M43
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,8060
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,4.65
Prop_RPM,rpm,155
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,1
N_Lifts,-,-
N_VehDecks,-,2
N_SemiDecks,-,1
N_HoistDecks,-,1
N_PasDecks,-,3
A_PasRelative,-,2.4
N_Pas,-,2120
L_Voyage,h,-
N_Berths,-,788
N_Cabins,-,224
N_Crew_Total,-,151
N_Officers,-,11
L_Lane,-,-
L_LaneTrailer,-,1180
L_LaneTrailer(or),-,-
L_LaneCar,-,2250
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1500
Classification,-,BV
HFO Tanks,m3,700
LNG Tanks,m3,-
DO Tanks,m3,290
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,1400
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
