Vessel Name,-,Olympia Palace
Year,-,2001
Tags,-,-
LOA,m,214
LBP,m,191.22
B,m,26.4
T,m,7.1
D,m,10
D_Upperdeck,m,15.5
DWT,t,6300
GT,t,37150
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,29.5
MCR,%,-
P_I,kW,67200
N_MainEngines,-,4
ME,-, Wartsila 16V46C
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,11560
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,5.7
Prop_RPM,rpm,150
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,0
N_Sternramps,-,2
N_Sidedoor,-,-
N_Insideramps,-,2
N_Lifts,-,-
N_VehDecks,-,2
N_SemiDecks,-,2
N_HoistDecks,-,0
N_PasDecks,-,3
A_PasRelative,-,2.6
N_Pas,-,1880
L_Voyage,h,-
N_Berths,-,706
N_Cabins,-,178
N_Crew_Total,-,120
N_Officers,-,24
L_Lane,-,-
L_LaneTrailer,-,2000
L_LaneTrailer(or),-,-
L_LaneCar,-,495
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1000
Classification,-,GL
HFO Tanks,m3,1000
LNG Tanks,m3,-
DO Tanks,m3,80
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,3000
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
