Vessel Name,-,Pont-Aven
Year,-,2004
Tags,-,-
LOA,m,184.3
LBP,m,170.8
B,m,30.9
T,m,6.8
D,m,-
D_Upperdeck,m,-
DWT,t,-
GT,t,41700
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,27
MCR,%,-
P_I,kW,43200
N_MainEngines,-,4
ME,-,MaK 12VM43
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,16200
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,5.2
Prop_RPM,rpm,-
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,2
N_Lifts,-,-
N_VehDecks,-,1
N_SemiDecks,-,1
N_HoistDecks,-,1
N_PasDecks,-,5
A_PasRelative,-,4.6
N_Pas,-,2600
L_Voyage,h,-
N_Berths,-,-
N_Cabins,-,659
N_Crew_Total,-,183
N_Officers,-,-
L_Lane,-,-
L_LaneTrailer,-,0
L_LaneTrailer(or),-,1440
L_LaneCar,-,3500
L_LaneCar(or),-,0
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),2000
Classification,-,BV
HFO Tanks,m3,-
LNG Tanks,m3,-
DO Tanks,m3,-
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,-
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
