Vessel Name,-,Prometheus
Year,-,2001
Tags,-,-
LOA,m,212
LBP,m,198
B,m,25
T,m,6.6
D,m,9.9
D_Upperdeck,m,15.25
DWT,t,6800
GT,t,26995
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,30
MCR,%,-
P_I,kW,50400
N_MainEngines,-,4
ME,-, Wartsila 12V46C
Fuel consumption,t/day,178.6
Fuel auxilaries,t/day,-
P_Aux,kW,9200
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,5.4
Prop_RPM,rpm,-
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,0
N_Sternramps,-,2
N_Sidedoor,-,-
N_Insideramps,-,3
N_Lifts,-,0
N_VehDecks,-,2
N_SemiDecks,-,0
N_HoistDecks,-,0
N_PasDecks,-,2
A_PasRelative,-,1.3
N_Pas,-,1000
L_Voyage,h,-
N_Berths,-,200
N_Cabins,-,52
N_Crew_Total,-,87
N_Officers,-,-
L_Lane,-,-
L_LaneTrailer,-,500
L_LaneTrailer(or),-,-
L_LaneCar,-,1500
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1300
Classification,-,GL
HFO Tanks,m3,900
LNG Tanks,m3,-
DO Tanks,m3,250
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,3800
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
