Vessel Name,-,Robin Hood
Year,-,1995
Tags,-,-
LOA,m,179.6
LBP,m,166
B,m,27.2
T,m,6
D,m,8.7
D_Upperdeck,m,16.6
DWT,t,6600
GT,t,26800
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,18.5
MCR,%,-
P_I,kW,18000
N_MainEngines,-,4
ME,-, MaK 6M552C
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,-
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,4.8
Prop_RPM,rpm,135
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,6
N_Lifts,-,-
N_VehDecks,-,3
N_SemiDecks,-,1
N_HoistDecks,-,0
N_PasDecks,-,3
A_PasRelative,-,1.8
N_Pas,-,300
L_Voyage,h,-
N_Berths,-,-
N_Cabins,-,163
N_Crew_Total,-,41
N_Officers,-,-
L_Lane,-,-
L_LaneTrailer,-,2400
L_LaneTrailer(or),-,-
L_LaneCar,-,0
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,0
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,150
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),-
Classification,-,GL
HFO Tanks,m3,-
LNG Tanks,m3,-
DO Tanks,m3,800
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,2500
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
