Vessel Name,-,Romantica
Year,-,2002
Tags,-,-
LOA,m,192.9
LBP,m,175.2
B,m,29
T,m,6.5
D,m,9.7
D_Upperdeck,m,15.4
DWT,t,4500
GT,t,39864
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,22
MCR,%,-
P_I,kW,26240
N_MainEngines,-,4
ME,-, Wartsila 16V32
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,12780
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,5
Prop_RPM,rpm,141
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,2
N_Sidedoor,-,-
N_Insideramps,-,-
N_Lifts,-,-
N_VehDecks,-,1
N_SemiDecks,-,-
N_HoistDecks,-,-
N_PasDecks,-,5
A_PasRelative,-,4.3
N_Pas,-,2500
L_Voyage,h,-
N_Berths,-,2172
N_Cabins,-,727
N_Crew_Total,-,172
N_Officers,-,12
L_Lane,-,-
L_LaneTrailer,-,0
L_LaneTrailer(or),-,-
L_LaneCar,-,1000
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1800
Classification,-,BV
HFO Tanks,m3,1400
LNG Tanks,m3,-
DO Tanks,m3,200
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,2500
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
