Vessel Name,-,San Sha 1 Hao
Year,-,2014
Tags,-,cargo
LOA,m,122.3
LBP,m,109.4
B,m,21
T,m,5.2
D,m,7.8
D_Upperdeck,m,14
DWT,t,2480
GT,t,12580
Displacement,t,7800
C_B,-,0.6
HTS,%,5
V_Service,knts,18
MCR,%,90
P_I,kW,9200
N_MainEngines,-,2
ME,-,MAN 9L32/40
Fuel consumption,t/day,30
Fuel auxilaries,t/day,4.7
P_Aux,kW,-
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,4.2
Prop_RPM,rpm,-
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,0
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,-
N_Lifts,-,-
N_VehDecks,-,1
N_SemiDecks,-,0
N_HoistDecks,-,0
N_PasDecks,-,2
A_PasRelative,-,1.8
N_Pas,-,450
L_Voyage,h,-
N_Berths,-,-
N_Cabins,-,145
N_Crew_Total,-,81
N_Officers,-,7
L_Lane,-,-
L_LaneTrailer,-,-
L_LaneTrailer(or),-,
L_LaneCar,-,-
L_LaneCar(or),-,
L_TrainTrack,-,-
N_Cars,-,140
N_Cars(or),-,0
L_Car,m,-
N_Trailers,-,0
N_Trailers(or),-,20
L_Trailer,m,-
No. Bowtrusters,-,1
P_Bowthruster,kW (each),700
Classification,-,CCS
HFO Tanks,m3,700
LNG Tanks,m3,-
DO Tanks,m3,180
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,780
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
