Vessel Name,-,Star
Year,-,2007
Tags,-,-
LOA,m,186
LBP,m,170
B,m,27.7
T,m,6.5
D,m,9.5
D_Upperdeck,m,20.9
DWT,t,4700
GT,t,36250
Displacement,t,-
C_B,-,-
HTS,%,28
V_Service,knts,27
MCR,%,-
P_I,kW,48000
N_MainEngines,-,4
ME,-, MaK 12M43C
Fuel consumption,t/day,195
Fuel auxilaries,t/day,-
P_Aux,kW,-
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,5.3
Prop_RPM,rpm,144
Skeg?,y/n,-
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,1
N_Lifts,-,-
N_VehDecks,-,2
N_SemiDecks,-,0
N_HoistDecks,-,0
N_PasDecks,-,3
A_PasRelative,-,2
N_Pas,-,1900
L_Voyage,h,-
N_Berths,-,520
N_Cabins,-,131
N_Crew_Total,-,100
N_Officers,-,17
L_Lane,-,-
L_LaneTrailer,-,2010
L_LaneTrailer(or),-,-
L_LaneCar,-,-
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1500
Classification,-,BV
HFO Tanks,m3,975
LNG Tanks,m3,-
DO Tanks,m3,170
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,3250
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
