Vessel Name,-,Stena Hollandica
Year,-,2010
Tags,-,-
LOA,m,240
LBP,m,221.75
B,m,32
T,m,6.4
D,m,9
D_Upperdeck,m,-
DWT,t,11600
GT,t,64000
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,22
MCR,%,-
P_I,kW,33600
N_MainEngines,-,2
ME,-, MAN 48 //  MAN 60
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,-
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,-
Prop_RPM,rpm,-
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,-
N_Sternramps,-,-
N_Sidedoor,-,-
N_Insideramps,-,5
N_Lifts,-,-
N_VehDecks,-,3
N_SemiDecks,-,1
N_HoistDecks,-,0
N_PasDecks,-,4
A_PasRelative,-,3
N_Pas,-,1200
L_Voyage,h,-
N_Berths,-,1376
N_Cabins,-,538
N_Crew_Total,-,85
N_Officers,-,-
L_Lane,-,-
L_LaneTrailer,-,5500
L_LaneTrailer(or),-,-
L_LaneCar,-,-
L_LaneCar(or),-,-
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),3000
Classification,-,LR
HFO Tanks,m3,-
LNG Tanks,m3,-
DO Tanks,m3,-
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,-
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
