Vessel Name,-,Tassili II
Year,-,2004
Tags,-,-
LOA,m,145
LBP,m,130
B,m,24
T,m,6
D,m,8.55
D_Upperdeck,m,-
DWT,t,2900
GT,t,-
Displacement,t,-
C_B,-,-
HTS,%,-
V_Service,knts,22
MCR,%,-
P_I,kW,25200
N_MainEngines,-,2
ME,-,Wartsila 12V46
Fuel consumption,t/day,-
Fuel auxilaries,t/day,-
P_Aux,kW,5760
N_prop,-,2
CPP?,y/n,y
Azi?,y/n,n
D_Prop,m,-
Prop_RPM,rpm,-
Skeg?,y/n,y
Bulbous Bow?,-,y
N_Bowramps,-,1
N_Sternramps,-,1
N_Sidedoor,-,-
N_Insideramps,-,4
N_Lifts,-,-
N_VehDecks,-,2
N_SemiDecks,-,-
N_HoistDecks,-,1
N_PasDecks,-,4
A_PasRelative,-,3.6
N_Pas,-,1308
L_Voyage,h,-
N_Berths,-,1308
N_Cabins,-,-
N_Crew_Total,-,119
N_Officers,-,-
L_Lane,-,-
L_LaneTrailer,-,1350
L_LaneTrailer(or),-,0
L_LaneCar,-,0
L_LaneCar(or),-,1780
L_TrainTrack,-,-
N_Cars,-,-
N_Cars(or),-,-
L_Car,m,-
N_Trailers,-,-
N_Trailers(or),-,-
L_Trailer,m,-
No. Bowtrusters,-,2
P_Bowthruster,kW (each),1000
Classification,-,BV
HFO Tanks,m3,780
LNG Tanks,m3,-
DO Tanks,m3,150
LO Tanks,m3,-
FW Tanks,m3,-
BW Tanks,m3,1200
Heeling Tanks,m3,-
Cost,m$,-
Significant Ship,Y/N,Y
Comments,-,-
